history_id,item_id,price,is_available,updated_at
1,80,42.99,True,2022-02-04 22:51:29.990783
2,2489,47.15,True,2023-03-23 23:36:07.101175
3,1360,5.32,True,2022-01-14 18:15:29.447808
4,862,33.3,True,2022-08-20 11:57:09.810467
5,4471,21.96,True,2023-03-12 05:14:05.355174
6,866,7.37,True,2023-05-28 02:15:45.416982
7,2716,20.95,True,2022-04-25 20:59:11.305284
8,823,43.93,True,2022-12-04 07:16:38.224241
9,4793,36.24,False,2023-01-29 14:47:04.794468
10,3485,28.26,True,2022-11-10 10:39:22.771081
11,269,16.28,True,2023-04-06 01:50:50.715161
12,3231,11.96,True,2023-02-28 23:51:12.045886
13,3793,19.45,True,2023-01-08 12:40:50.490901
14,633,6.07,True,2022-06-07 14:09:00.913774
15,3537,38.27,True,2023-05-25 17:38:07.335042
16,2133,42.28,True,2022-12-09 18:01:05.396318
17,2780,22.81,False,2022-12-26 17:22:22.645273
18,4619,9.71,True,2022-10-19 06:30:53.321400
19,69,26.25,True,2022-11-05 03:41:29.755249
20,4506,35.73,True,2022-12-14 05:48:39.707504
21,3457,9.36,True,2022-09-05 21:07:34.164799
22,2409,22.57,True,2023-05-13 10:50:34.590195
23,2365,45.18,True,2022-03-27 22:11:49.344579
24,3676,25.72,True,2022-10-22 02:44:22.389214
25,2256,5.69,True,2022-04-09 19:00:12.821354
26,278,38.51,False,2022-12-16 10:05:07.960287
27,1358,30.21,True,2023-04-28 19:38:21.270981
28,4859,7.98,True,2023-05-19 04:26:32.732993
29,2507,29.87,True,2023-02-24 11:00:15.300515
30,2410,30.8,True,2022-09-07 16:54:36.037879
31,4494,40.46,True,2022-05-08 06:44:22.372270
32,2165,38.65,False,2023-01-30 00:53:16.673276
33,2945,49.31,False,2023-05-25 14:48:21.505732
34,1499,7.59,True,2022-12-25 05:20:15.515805
35,3145,34.7,True,2022-01-25 08:02:57.602410
36,17,26.47,True,2022-11-15 09:01:00.056124
37,2144,20.11,True,2022-05-25 03:29:43.876037
38,4575,39.85,True,2023-05-23 21:59:51.627940
39,4897,7.23,True,2023-03-08 17:08:12.660653
40,319,33.42,True,2022-05-13 23:19:23.150685
41,303,47.8,True,2022-01-31 07:51:27.866622
42,2128,26.25,True,2023-01-03 01:30:25.554249
43,1052,41.94,True,2022-04-20 16:09:51.915375
44,4196,44.31,True,2022-03-13 06:10:51.141395
45,3921,44.0,True,2023-05-12 18:59:29.272335
46,1543,35.22,True,2022-04-09 02:05:25.147891
47,1911,31.1,False,2023-03-06 00:31:30.096205
48,1488,17.63,True,2022-05-26 20:56:50.472765
49,4790,25.81,True,2022-05-14 10:19:10.222231
50,4025,5.83,True,2023-01-12 23:15:25.863373
51,318,26.02,True,2023-02-23 16:13:16.449669
52,2087,11.91,True,2022-06-15 20:36:51.218048
53,1446,32.78,False,2022-10-26 19:50:33.258684
54,2760,41.35,True,2023-05-05 22:19:03.178137
55,2184,31.22,True,2022-01-27 15:25:24.811364
56,2920,35.11,True,2022-05-23 13:16:42.773942
57,1870,47.66,True,2022-06-26 14:16:58.741047
58,1755,19.77,True,2022-12-25 07:14:09.014605
59,712,28.04,True,2023-05-24 23:13:58.603892
60,3613,42.02,True,2022-02-20 20:59:48.402785
61,2099,13.34,True,2022-07-23 16:43:21.594458
62,1921,28.26,True,2023-05-19 03:24:16.454385
63,4891,34.04,True,2022-03-29 15:45:58.147259
64,1085,31.12,True,2022-09-17 16:37:15.248394
65,139,20.27,True,2022-12-25 05:06:28.404091
66,70,11.26,True,2023-01-15 00:43:45.633288
67,3681,36.95,True,2023-02-22 19:19:21.486008
68,656,19.24,True,2022-02-18 22:11:47.927432
69,1435,35.14,True,2022-12-31 17:15:49.501880
70,2033,43.04,True,2023-04-16 05:03:45.566443
71,2099,28.74,True,2023-03-22 22:26:04.431766
72,736,41.25,True,2022-06-10 05:32:01.471728
73,3011,43.71,True,2022-11-08 09:31:23.267970
74,4589,47.57,True,2022-04-16 05:10:07.155622
75,841,34.85,True,2023-05-06 09:22:12.196592
76,4286,17.27,True,2022-04-16 12:00:04.215800
